,with,without
Action,0.38073364485981304,0.36821028037383174
Adventure,0.42346417445482876,0.4068971962616822
Animated,0.35609345794392533,0.34843001780151317
Comedy,0.38637071651090343,0.3748569574247145
Historical,0.4035389408099689,0.43276181204569053
Fantasy,0.3754314641744549,0.40565784008307376
Horror,0.659322429906542,0.6512357217030116
Science fiction,0.42591433021806857,0.4336839304257529
Documentary,0.41673052959501555,0.4205392004153687
