,with,without
Action,0.26304517133956384,0.2473929127725857
Adventure,0.307733644859813,0.3068596832814123
Animated,0.39357710280373837,0.3774022585669782
Comedy,0.3356542056074766,0.340052310488058
Historical,0.3973909657320873,0.39221209761163023
Fantasy,0.34477336448598134,0.35792048286604367
Horror,0.723753894080997,0.7181656282450674
Science fiction,0.3614345794392524,0.3606448598130841
Documentary,0.39546573208722746,0.40062149532710295
