,with,without
Action,0.35363052148038043,0.35361536978232894
Adventure,0.4179956613009347,0.40036664618713635
Animated,0.3726515987101886,0.3774012975997556
Comedy,0.3813513197281611,0.36195997263541707
Historical,0.36493143732279315,0.3737079153185915
Fantasy,0.38375723611781876,0.39234895311700807
Horror,0.5437601116170501,0.5403951373802551
Science fiction,0.409331799912711,0.4469345067154472
Documentary,0.3924507177530073,0.40849685694206367
