,with,without
Action,0.2613613707165109,0.23618574766355138
Adventure,0.3200389408099689,0.3129524402907581
Animated,0.35408333333333336,0.3745830737279335
Comedy,0.31431931464174456,0.33210238836967815
Historical,0.39102024922118384,0.3941139667705088
Fantasy,0.35411915887850465,0.3628123442367602
Horror,0.7437118380062303,0.7263781931464174
Science fiction,0.36879065420560747,0.3932120605251445
Documentary,0.3873380062305296,0.39591121495327103
