,with,without
Action,0.24605919003115265,0.24783244325767692
Adventure,0.3219781931464175,0.30501606215695004
Animated,0.3593265835929388,0.3610371235721703
Comedy,0.333803738317757,0.3232685617860852
Historical,0.38987694704049847,0.4158128245067498
Fantasy,0.3838369158878505,0.3613294392523365
Horror,0.7311355140186917,0.7287420820353063
Science fiction,0.39109184097314936,0.375
Documentary,0.417797507788162,0.3953317757009346
