,with,without
Action,0.37489408099688476,0.361993769470405
Adventure,0.43155763239875383,0.3864953271028037
Animated,0.3560919003115264,0.3602841381100727
Comedy,0.389898753894081,0.4017803738317757
Historical,0.3937601246105919,0.4117145638629283
Fantasy,0.3782242990654205,0.3977703011422637
Horror,0.6399844236760126,0.6333895379023884
Science fiction,0.40953115264797507,0.4302345534787124
Documentary,0.4215685358255452,0.4244997403946002
