,with,without
Action,0.39250151776553244,0.39019300510333527
Adventure,0.3927563818194927,0.4098040150732315
Animated,0.3442586942671368,0.346403576366931
Comedy,0.3772428613348637,0.397367820569699
Historical,0.38523088001359307,0.3876256113713539
Fantasy,0.37704012015483285,0.4040083492268512
Horror,0.6957492612505136,0.6565444911378554
Science fiction,0.40757170184581887,0.43033110347523534
Documentary,0.4199121674316721,0.4219322547560933
