Extraversion,Observant,Thinking,Judging,Age,way of watching movies,Action,Adventure,Animated,Comedy,Historical,Fantasy,Horror,Science fiction,Documentary,Gender_Female,Gender_Male,Gender_Non-binary / third gender,Entertaining,relaxing,funny,express my feelings,educating,education_bachelor,education_high school or below,education_master or above,Major_arts-related,Major_business-related,Major_engineering and techonology,Major_environment-related,Major_literature language and social sciences,Major_science and math-related,subscription_Never,subscription_Somtimes,subscription_Yes,Frequency_6-10 times a year,Frequency_fewer than 5 times a year,Frequency_more than 10 times a year,number_0-20,number_21-40,number_over 40,with_With friends,with_alone,with_with boyfriend/girlfriend,with_with family,Actor/actress,director,advertisements,genres,previews,comment
51,70,49,51,24.0,1,4,5,5,3,4,3,1,4,4,0,1,0,1.0,1.0,1.0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0.0,0.0,0.0,1.0,1.0,1.0
46,67,40,30,20.0,0,3,3,3,3,3,3,3,3,3,1,0,0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1.0,0.0,0.0,1.0,0.0,1.0
29,35,36,56,23.0,0,3,3,5,3,4,3,2,2,5,1,0,0,1.0,1.0,0.0,1.0,0.0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1.0,0.0,0.0,1.0,0.0,1.0
41,42,45,68,21.0,0,3,4,4,4,4,5,1,4,4,1,0,0,1.0,1.0,0.0,0.0,1.0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1.0,0.0,0.0,1.0,0.0,1.0
63,59,36,36,23.0,1,3,3,3,4,3,3,2,3,3,1,0,0,1.0,1.0,0.0,0.0,1.0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0.0,1.0,0.0,1.0,0.0,1.0
18,31,43,79,23.0,0,3,3,3,5,3,4,2,3,2,1,0,0,1.0,1.0,0.0,0.0,1.0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1.0,0.0,0.0,1.0,0.0,1.0
54,26,52,33,23.0,0,3,3,3,3,4,3,4,3,4,1,0,0,1.0,1.0,0.0,0.0,1.0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1.0,1.0,0.0,1.0,0.0,0.0
40,61,18,40,24.0,0,4,4,4,3,4,4,4,4,4,1,0,0,0.0,1.0,1.0,1.0,0.0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0.0,1.0,1.0,1.0,0.0,0.0
28,51,54,74,22.0,1,2,2,4,4,3,2,1,2,3,1,0,0,1.0,1.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1.0,1.0,0.0,0.0,0.0,1.0
46,45,58,74,23.0,0,3,2,4,4,5,4,2,4,4,1,0,0,1.0,1.0,1.0,0.0,0.0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1.0,0.0,1.0,1.0,0.0,0.0
46,45,58,74,23.0,0,4,2,4,4,4,4,2,4,4,1,0,0,0.0,1.0,0.0,1.0,0.0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1.0,1.0,0.0,1.0,0.0,0.0
16,41,43,24,23.0,0,3,4,4,3,3,5,4,5,3,1,0,0,1.0,1.0,0.0,0.0,0.0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0.0,1.0,0.0,1.0,1.0,0.0
42,38,42,99,24.0,0,3,4,3,4,4,3,1,5,4,0,1,0,0.0,0.0,0.0,0.0,1.0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0.0,1.0,0.0,1.0,0.0,1.0
40,35,53,53,25.0,1,5,5,4,5,3,5,4,5,3,0,1,0,1.0,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1.0,0.0,1.0,0.0,0.0,1.0
58,46,71,66,22.0,1,5,5,3,4,4,5,5,5,4,1,0,0,1.0,1.0,0.0,0.0,1.0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0.0,1.0,0.0,1.0,0.0,1.0
40,70,60,80,21.0,0,2,4,4,2,2,4,4,2,3,1,0,0,1.0,1.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1.0,0.0,0.0,1.0,0.0,1.0
59,49,44,60,20.0,0,5,4,4,5,4,4,2,3,5,1,0,0,1.0,1.0,1.0,0.0,0.0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1.0,0.0,0.0,1.0,0.0,1.0
65,50,57,74,21.0,1,4,4,4,4,4,5,3,5,3,0,1,0,1.0,1.0,0.0,1.0,0.0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1.0,0.0,0.0,1.0,1.0,0.0
74,52,60,81,20.0,0,1,1,1,1,1,1,1,1,1,1,0,0,0.0,0.0,1.0,0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0.0,0.0,0.0,1.0,1.0,1.0
53,57,52,51,20.0,1,3,3,3,3,3,3,3,3,3,0,1,0,0.0,0.0,1.0,0.0,0.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1.0,1.0,0.0,1.0,0.0,0.0
59,51,41,85,20.0,0,3,4,4,5,2,4,3,1,1,0,1,0,0.0,1.0,1.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1.0,1.0,0.0,0.0,0.0,1.0
54,51,53,51,19.0,1,3,3,3,3,2,4,4,3,3,1,0,0,0.0,1.0,1.0,1.0,0.0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1.0,0.0,0.0,0.0,1.0,1.0
