Finished,Extraversion,Observant,Thinking,Judging,Age,Gender,education,Major,way of watching movies,subscription,Frequency,number of movies,Reasons,With whom,factors,Action,Adventure,Animated,Comedy,Historical,Fantasy,Horror,Science fiction,Documentary
TRUE,56,70,62,59,20,Female,bachelor,literature language and social sciences,on mobile devices at home or other places,Somtimes,fewer than 5 times a year,21-40,"Entertaining,relaxing,educating",With friends,"Actor/actress,director,previews",dislike,like,neither like nor dislike,like,dislike,like,neither like nor dislike,dislike,dislike
TRUE,100,100,100,100,20,Male,bachelor,literature language and social sciences,on mobile devices at home or other places,Yes,fewer than 5 times a year,0-20,Entertaining,alone,"Actor/actress,previews,comments of other audience",like,like,Strongly like,like,neither like nor dislike,like,neither like nor dislike,like,neither like nor dislike
TRUE,63,50,60,59,21,Female,bachelor,literature language and social sciences,Go to cinema or theatres,Somtimes,fewer than 5 times a year,0-20,"Entertaining,relaxing",With friends,"Actor/actress,advertisements,comments of other audience",neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike,like,neither like nor dislike,dislike,dislike,neither like nor dislike
TRUE,52,71,65,36,19,Male,bachelor,literature language and social sciences,Go to cinema or theatres,Yes,6-10 times a year,0-20,"Entertaining,relaxing,funny",With friends,"Actor/actress,advertisements,previews",like,like,like,like,like,like,like,like,like
TRUE,47,51,82,84,,Male,high school or below,engineering and techonology,Go to cinema or theatres,Yes,fewer than 5 times a year,0-20,Entertaining,With friends,"Actor/actress,director,advertisements",Strongly dislike,Strongly dislike,Strongly dislike,Strongly dislike,Strongly dislike,Strongly dislike,Strongly dislike,dislike,Strongly dislike
TRUE,49,54,47,56,20,Female,bachelor,literature language and social sciences,on mobile devices at home or other places,Never,fewer than 5 times a year,0-20,"relaxing,funny,educating",With friends,"Actor/actress,previews,comments of other audience",neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike
TRUE,47,52,55,44,22,Female,bachelor,literature language and social sciences,on mobile devices at home or other places,Never,fewer than 5 times a year,0-20,"Entertaining,relaxing,funny",With friends,"Actor/actress,genres,comments of other audience",neither like nor dislike,neither like nor dislike,like,neither like nor dislike,neither like nor dislike,like,neither like nor dislike,neither like nor dislike,like
TRUE,34,43,44,65,21,Female,bachelor,engineering and techonology,Go to cinema or theatres,Yes,fewer than 5 times a year,0-20,Entertaining,With friends,"Actor/actress,director,advertisements",Strongly dislike,Strongly dislike,dislike,Strongly dislike,Strongly dislike,Strongly dislike,Strongly dislike,Strongly dislike,Strongly dislike
TRUE,61,49,63,34,21,Female,bachelor,literature language and social sciences,Go to cinema or theatres,Somtimes,6-10 times a year,0-20,"Entertaining,relaxing,funny",With friends,"Actor/actress,previews,comments of other audience",neither like nor dislike,neither like nor dislike,like,Strongly like,neither like nor dislike,like,Strongly dislike,like,neither like nor dislike
TRUE,45,62,30,56,19,Female,high school or below,literature language and social sciences,Go to cinema or theatres,Somtimes,fewer than 5 times a year,0-20,"relaxing,funny",with family,"Actor/actress,advertisements,previews",neither like nor dislike,like,Strongly like,neither like nor dislike,neither like nor dislike,like,neither like nor dislike,neither like nor dislike,neither like nor dislike
TRUE,61,46,68,67,19,Female,bachelor,literature language and social sciences,Go to cinema or theatres,Yes,fewer than 5 times a year,0-20,"Entertaining,relaxing",With friends,"Actor/actress,director,previews",dislike,neither like nor dislike,dislike,like,neither like nor dislike,like,like,neither like nor dislike,neither like nor dislike
TRUE,28,44,54,29,20,Female,bachelor,literature language and social sciences,on mobile devices at home or other places,Somtimes,fewer than 5 times a year,0-20,"relaxing,educating",With friends,"genres,previews,comments of other audience",neither like nor dislike,like,like,like,dislike,neither like nor dislike,Strongly dislike,Strongly like,like
TRUE,67,30,70,92,19,Female,master or above,literature language and social sciences,on mobile devices at home or other places,Somtimes,fewer than 5 times a year,0-20,"relaxing,funny,express my feelings",With friends,"Actor/actress,advertisements,previews",Strongly dislike,Strongly dislike,Strongly dislike,Strongly like,Strongly dislike,Strongly like,Strongly dislike,Strongly dislike,Strongly like
TRUE,28,34,33,90,20,Female,high school or below,literature language and social sciences,on mobile devices at home or other places,Somtimes,fewer than 5 times a year,0-20,"Entertaining,relaxing,express my feelings",with family,"advertisements,genres,comments of other audience",neither like nor dislike,neither like nor dislike,like,Strongly like,Strongly like,like,Strongly dislike,neither like nor dislike,like
TRUE,67,58,36,46,20,Male,high school or below,literature language and social sciences,on mobile devices at home or other places,Somtimes,fewer than 5 times a year,0-20,Entertaining,With friends,"Actor/actress,director,advertisements",neither like nor dislike,Strongly dislike,Strongly dislike,Strongly dislike,Strongly dislike,Strongly dislike,Strongly dislike,Strongly dislike,Strongly dislike
TRUE,55,54,57,56,21,Male,bachelor,literature language and social sciences,Go to cinema or theatres,Yes,fewer than 5 times a year,over 40,Entertaining,With friends,"Actor/actress,director,genres",Strongly dislike,dislike,dislike,like,like,dislike,dislike,dislike,Strongly dislike
TRUE,73,41,44,78,19,Female,bachelor,literature language and social sciences,on mobile devices at home or other places,Somtimes,fewer than 5 times a year,over 40,"relaxing,funny,educating",With friends,"Actor/actress,director,previews",neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike
TRUE,52,46,58,60,21,Female,master or above,arts-related,on mobile devices at home or other places,Somtimes,6-10 times a year,21-40,funny,with family,"Actor/actress,director,advertisements",Strongly dislike,Strongly dislike,Strongly dislike,Strongly dislike,Strongly dislike,Strongly dislike,Strongly dislike,Strongly dislike,Strongly dislike
TRUE,59,42,44,82,21,Female,bachelor,literature language and social sciences,Go to cinema or theatres,Somtimes,6-10 times a year,0-20,"Entertaining,relaxing,funny",With friends,"genres,previews,comments of other audience",neither like nor dislike,like,like,dislike,Strongly like,Strongly like,neither like nor dislike,like,like
TRUE,36,42,53,28,20,Male,bachelor,literature language and social sciences,on mobile devices at home or other places,Somtimes,fewer than 5 times a year,0-20,"Entertaining,relaxing,funny",alone,"director,previews,comments of other audience",like,like,neither like nor dislike,like,Strongly like,like,neither like nor dislike,like,neither like nor dislike
TRUE,33,53,56,55,20,Female,bachelor,arts-related,on mobile devices at home or other places,Yes,fewer than 5 times a year,0-20,"Entertaining,relaxing,funny",with family,"Actor/actress,director,genres",Strongly dislike,Strongly dislike,Strongly dislike,Strongly dislike,Strongly dislike,Strongly dislike,Strongly dislike,Strongly dislike,Strongly dislike
TRUE,52,57,66,60,20,Female,bachelor,literature language and social sciences,Go to cinema or theatres,Somtimes,fewer than 5 times a year,0-20,"relaxing,funny",With friends,"Actor/actress,advertisements,comments of other audience",neither like nor dislike,dislike,neither like nor dislike,like,dislike,Strongly dislike,Strongly dislike,dislike,Strongly dislike
TRUE,21,45,62,51,20,Female,bachelor,literature language and social sciences,on mobile devices at home or other places,Somtimes,fewer than 5 times a year,0-20,"Entertaining,relaxing,funny",With friends,"Actor/actress,genres,comments of other audience",dislike,neither like nor dislike,like,Strongly like,Strongly like,Strongly like,neither like nor dislike,neither like nor dislike,Strongly like
TRUE,44,61,54,53,20,Female,high school or below,literature language and social sciences,on mobile devices at home or other places,Yes,6-10 times a year,21-40,"Entertaining,funny",With friends,"Actor/actress,director,comments of other audience",neither like nor dislike,neither like nor dislike,dislike,like,Strongly dislike,like,neither like nor dislike,neither like nor dislike,dislike
TRUE,17,83,14,86,19,Female,bachelor,literature language and social sciences,Go to cinema or theatres,Yes,6-10 times a year,0-20,"Entertaining,relaxing,funny",With friends,"genres,previews,comments of other audience",like,like,like,Strongly like,like,like,neither like nor dislike,dislike,neither like nor dislike
TRUE,36,38,44,49,20,Female,bachelor,literature language and social sciences,Go to cinema or theatres,Yes,6-10 times a year,0-20,"relaxing,express my feelings,educating",With friends,"genres,previews,comments of other audience",like,like,like,neither like nor dislike,dislike,Strongly like,like,neither like nor dislike,dislike
TRUE,34,51,32,39,20,Female,bachelor,literature language and social sciences,on mobile devices at home or other places,Somtimes,fewer than 5 times a year,0-20,"Entertaining,relaxing,funny",With friends,"genres,previews,comments of other audience",neither like nor dislike,neither like nor dislike,Strongly like,Strongly like,neither like nor dislike,Strongly like,Strongly dislike,like,neither like nor dislike
TRUE,92,28,16,61,20,Male,bachelor,literature language and social sciences,on mobile devices at home or other places,Somtimes,6-10 times a year,0-20,"relaxing,funny,express my feelings",With friends,"advertisements,previews,comments of other audience",like,neither like nor dislike,like,Strongly like,like,Strongly like,neither like nor dislike,dislike,neither like nor dislike
TRUE,52,54,54,55,20,Female,bachelor,literature language and social sciences,Go to cinema or theatres,Yes,6-10 times a year,0-20,"Entertaining,relaxing,funny",With friends,"Actor/actress,previews,comments of other audience",like,like,like,like,like,like,like,like,like
TRUE,74,37,44,49,21,Female,bachelor,literature language and social sciences,on mobile devices at home or other places,Somtimes,fewer than 5 times a year,0-20,"relaxing,funny,express my feelings",alone,"Actor/actress,advertisements,previews",Strongly dislike,Strongly dislike,like,like,neither like nor dislike,like,neither like nor dislike,dislike,neither like nor dislike
TRUE,45,44,32,68,22,Female,bachelor,literature language and social sciences,on mobile devices at home or other places,Yes,fewer than 5 times a year,0-20,"Entertaining,relaxing,educating",With friends,"Actor/actress,genres,comments of other audience",like,like,Strongly like,Strongly like,neither like nor dislike,like,neither like nor dislike,neither like nor dislike,neither like nor dislike
TRUE,47,55,71,67,,Female,bachelor,literature language and social sciences,Go to cinema or theatres,Somtimes,fewer than 5 times a year,0-20,"Entertaining,relaxing,funny",With friends,"Actor/actress,genres,comments of other audience",neither like nor dislike,neither like nor dislike,neither like nor dislike,like,like,like,Strongly dislike,like,like
TRUE,65,62,70,51,22,Female,bachelor,literature language and social sciences,Go to cinema or theatres,Yes,6-10 times a year,21-40,"Entertaining,relaxing,express my feelings",With friends,"genres,previews,comments of other audience",neither like nor dislike,neither like nor dislike,like,like,like,like,neither like nor dislike,like,neither like nor dislike
TRUE,46,51,49,68,20,Female,bachelor,literature language and social sciences,on mobile devices at home or other places,Yes,fewer than 5 times a year,0-20,"Entertaining,relaxing,funny",With friends,"Actor/actress,director,previews",neither like nor dislike,neither like nor dislike,like,neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike
TRUE,44,28,22,46,19,Female,bachelor,literature language and social sciences,on mobile devices at home or other places,Yes,more than 10 times a year,over 40,"Entertaining,relaxing,funny",With friends,"director,previews,comments of other audience",neither like nor dislike,neither like nor dislike,like,Strongly like,like,Strongly like,like,Strongly like,Strongly like
TRUE,25,18,21,56,21,Female,bachelor,literature language and social sciences,on mobile devices at home or other places,Somtimes,fewer than 5 times a year,0-20,"Entertaining,express my feelings,educating",alone,"Actor/actress,genres,previews",neither like nor dislike,neither like nor dislike,like,neither like nor dislike,neither like nor dislike,neither like nor dislike,Strongly dislike,neither like nor dislike,neither like nor dislike
TRUE,56,39,34,43,19,Female,bachelor,literature language and social sciences,on mobile devices at home or other places,Somtimes,6-10 times a year,0-20,"Entertaining,educating",With friends,"Actor/actress,director,genres",like,Strongly like,neither like nor dislike,Strongly like,like,Strongly like,Strongly like,Strongly like,like
TRUE,58,75,82,73,21,Female,bachelor,literature language and social sciences,Go to cinema or theatres,Never,fewer than 5 times a year,0-20,"Entertaining,relaxing,funny",With friends,"Actor/actress,previews,comments of other audience",dislike,neither like nor dislike,Strongly like,like,like,Strongly like,Strongly like,neither like nor dislike,dislike
TRUE,57,58,40,54,20,Female,bachelor,literature language and social sciences,on mobile devices at home or other places,Somtimes,fewer than 5 times a year,0-20,"relaxing,funny,educating",With friends,"Actor/actress,genres,previews",like,like,Strongly like,Strongly like,neither like nor dislike,like,Strongly dislike,neither like nor dislike,like
TRUE,56,58,40,67,21,Female,bachelor,environment-related,Go to cinema or theatres,Yes,6-10 times a year,0-20,"Entertaining,relaxing",with boyfriend/girlfriend,"Actor/actress,advertisements,comments of other audience",dislike,dislike,Strongly dislike,like,neither like nor dislike,neither like nor dislike,dislike,dislike,dislike
TRUE,60,49,48,58,21,Female,high school or below,literature language and social sciences,on mobile devices at home or other places,Somtimes,fewer than 5 times a year,0-20,"Entertaining,relaxing,express my feelings",With friends,"genres,previews,comments of other audience",neither like nor dislike,neither like nor dislike,neither like nor dislike,like,neither like nor dislike,like,dislike,like,neither like nor dislike
TRUE,42,74,57,12,20,Female,bachelor,literature language and social sciences,Go to cinema or theatres,Somtimes,fewer than 5 times a year,0-20,"Entertaining,relaxing,express my feelings",With friends,"genres,previews,comments of other audience",neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike,like,dislike,like,like
TRUE,24,71,47,19,20,Female,bachelor,literature language and social sciences,Go to cinema or theatres,Somtimes,6-10 times a year,0-20,funny,alone,"Actor/actress,director,advertisements",Strongly dislike,Strongly dislike,Strongly dislike,Strongly dislike,dislike,neither like nor dislike,like,neither like nor dislike,dislike
TRUE,47,44,44,50,20,Female,high school or below,engineering and techonology,Go to cinema or theatres,Somtimes,6-10 times a year,21-40,relaxing,with family,"Actor/actress,director,advertisements",dislike,neither like nor dislike,neither like nor dislike,like,dislike,dislike,neither like nor dislike,dislike,neither like nor dislike
TRUE,12,12,26,28,20,Female,high school or below,literature language and social sciences,Go to cinema or theatres,Never,6-10 times a year,0-20,"Entertaining,funny,express my feelings",With friends,"advertisements,previews,comments of other audience",like,like,neither like nor dislike,dislike,dislike,like,like,like,dislike
TRUE,86,93,100,100,20,Female,bachelor,literature language and social sciences,on mobile devices at home or other places,Yes,6-10 times a year,0-20,"Entertaining,relaxing,funny",With friends,"Actor/actress,director,advertisements",neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike
TRUE,52,51,57,63,20,Female,bachelor,engineering and techonology,Go to cinema or theatres,Somtimes,6-10 times a year,0-20,"Entertaining,relaxing,funny",with boyfriend/girlfriend,"Actor/actress,genres,comments of other audience",neither like nor dislike,neither like nor dislike,like,neither like nor dislike,Strongly dislike,like,like,neither like nor dislike,dislike
TRUE,61,63,67,71,20,Female,bachelor,literature language and social sciences,on mobile devices at home or other places,Yes,fewer than 5 times a year,0-20,"Entertaining,relaxing,funny",With friends,"Actor/actress,director,advertisements",Strongly dislike,dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike,Strongly like,neither like nor dislike,neither like nor dislike,neither like nor dislike
TRUE,28,43,54,29,21,Female,bachelor,literature language and social sciences,on mobile devices at home or other places,Somtimes,fewer than 5 times a year,0-20,"relaxing,educating",With friends,"genres,previews,comments of other audience",like,like,like,like,dislike,like,Strongly dislike,Strongly like,like
TRUE,29,38,22,51,19,Female,bachelor,literature language and social sciences,on mobile devices at home or other places,Yes,6-10 times a year,0-20,"Entertaining,relaxing,funny",With friends,"Actor/actress,previews,comments of other audience",neither like nor dislike,neither like nor dislike,like,like,neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike
TRUE,47,37,37,33,20,Female,bachelor,literature language and social sciences,Go to cinema or theatres,Somtimes,6-10 times a year,0-20,"Entertaining,relaxing,express my feelings",With friends,"Actor/actress,director,comments of other audience",neither like nor dislike,like,like,Strongly like,like,neither like nor dislike,dislike,neither like nor dislike,neither like nor dislike
TRUE,45,38,36,78,20,Female,bachelor,literature language and social sciences,Go to cinema or theatres,Yes,fewer than 5 times a year,0-20,"Entertaining,relaxing,funny",With friends,"Actor/actress,director,previews",Strongly dislike,dislike,like,like,neither like nor dislike,like,dislike,dislike,dislike
TRUE,56,38,52,63,20,Female,bachelor,literature language and social sciences,on mobile devices at home or other places,Yes,fewer than 5 times a year,0-20,"Entertaining,relaxing,funny",With friends,"Actor/actress,director,genres",Strongly dislike,dislike,neither like nor dislike,neither like nor dislike,like,dislike,neither like nor dislike,like,like
TRUE,54,57,26,94,19,Female,high school or below,literature language and social sciences,on mobile devices at home or other places,Yes,6-10 times a year,21-40,"Entertaining,relaxing,funny",With friends,"Actor/actress,previews,comments of other audience",like,Strongly like,neither like nor dislike,Strongly like,dislike,Strongly like,Strongly dislike,like,neither like nor dislike
TRUE,22,64,54,17,20,Female,bachelor,literature language and social sciences,Go to cinema or theatres,Somtimes,fewer than 5 times a year,over 40,"relaxing,funny",With friends,"director,genres,comments of other audience",dislike,like,neither like nor dislike,like,neither like nor dislike,dislike,dislike,Strongly dislike,like
TRUE,43,46,59,53,20,Female,high school or below,literature language and social sciences,Go to cinema or theatres,Somtimes,6-10 times a year,0-20,"Entertaining,relaxing,funny",With friends,"genres,previews,comments of other audience",like,like,neither like nor dislike,like,neither like nor dislike,like,dislike,like,like
TRUE,32,51,57,36,20,Female,high school or below,engineering and techonology,Go to cinema or theatres,Yes,fewer than 5 times a year,21-40,funny,alone,"Actor/actress,director,advertisements",neither like nor dislike,neither like nor dislike,dislike,neither like nor dislike,neither like nor dislike,dislike,like,Strongly dislike,dislike
TRUE,47,49,44,63,20,Female,bachelor,literature language and social sciences,Go to cinema or theatres,Never,fewer than 5 times a year,0-20,"Entertaining,relaxing,funny",With friends,"Actor/actress,previews,comments of other audience",neither like nor dislike,neither like nor dislike,Strongly like,like,dislike,like,Strongly dislike,neither like nor dislike,like
TRUE,67,53,59,43,20,Female,bachelor,literature language and social sciences,on mobile devices at home or other places,Somtimes,fewer than 5 times a year,0-20,"Entertaining,relaxing,funny",With friends,"Actor/actress,previews,comments of other audience",neither like nor dislike,neither like nor dislike,neither like nor dislike,like,neither like nor dislike,like,Strongly dislike,neither like nor dislike,neither like nor dislike
TRUE,25,74,41,37,,Male,bachelor,engineering and techonology,on mobile devices at home or other places,Somtimes,fewer than 5 times a year,0-20,"Entertaining,relaxing,funny",With friends,"director,genres,comments of other audience",like,neither like nor dislike,dislike,neither like nor dislike,dislike,Strongly like,like,like,dislike
TRUE,43,66,53,53,18,Female,high school or below,literature language and social sciences,Go to cinema or theatres,Yes,6-10 times a year,0-20,"Entertaining,relaxing,funny",with family,"Actor/actress,previews,comments of other audience",dislike,dislike,Strongly dislike,dislike,dislike,Strongly like,Strongly like,neither like nor dislike,neither like nor dislike
TRUE,73,83,80,81,21,Female,bachelor,literature language and social sciences,Go to cinema or theatres,Yes,6-10 times a year,0-20,"relaxing,funny,express my feelings",with boyfriend/girlfriend,"Actor/actress,director,genres",like,like,like,like,like,like,like,like,like
TRUE,40,58,58,60,20,Female,bachelor,literature language and social sciences,Go to cinema or theatres,Yes,more than 10 times a year,0-20,"Entertaining,relaxing,funny",with family,"Actor/actress,genres,comments of other audience",neither like nor dislike,neither like nor dislike,neither like nor dislike,like,neither like nor dislike,dislike,neither like nor dislike,dislike,neither like nor dislike
TRUE,67,50,54,59,20,Female,bachelor,literature language and social sciences,Go to cinema or theatres,Somtimes,more than 10 times a year,over 40,express my feelings,with boyfriend/girlfriend,"Actor/actress,director,advertisements",neither like nor dislike,dislike,dislike,dislike,like,dislike,neither like nor dislike,dislike,neither like nor dislike
TRUE,49,50,52,50,20,Female,master or above,literature language and social sciences,Go to cinema or theatres,Yes,6-10 times a year,0-20,"Entertaining,relaxing,express my feelings",with boyfriend/girlfriend,"Actor/actress,previews,comments of other audience",neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike
TRUE,43,51,26,44,18,Female,high school or below,literature language and social sciences,Go to cinema or theatres,Somtimes,6-10 times a year,0-20,"Entertaining,relaxing,funny",With friends,"Actor/actress,director,comments of other audience",neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike,dislike,neither like nor dislike,neither like nor dislike
TRUE,41,44,59,40,19,Female,bachelor,literature language and social sciences,Go to cinema or theatres,Yes,fewer than 5 times a year,21-40,"Entertaining,relaxing,express my feelings",With friends,"Actor/actress,previews,comments of other audience",neither like nor dislike,like,neither like nor dislike,Strongly like,Strongly like,Strongly like,dislike,like,like
TRUE,66,60,60,76,21,Female,bachelor,literature language and social sciences,Go to cinema or theatres,Somtimes,6-10 times a year,21-40,"relaxing,educating",With friends,"director,previews,comments of other audience",like,like,like,Strongly like,like,like,neither like nor dislike,neither like nor dislike,like
TRUE,61,45,68,67,19,Female,bachelor,literature language and social sciences,Go to cinema or theatres,Yes,fewer than 5 times a year,0-20,"Entertaining,relaxing",With friends,"Actor/actress,director,previews",dislike,dislike,dislike,like,dislike,like,like,dislike,neither like nor dislike
TRUE,31,52,43,26,19,Female,bachelor,literature language and social sciences,Go to cinema or theatres,Somtimes,fewer than 5 times a year,0-20,relaxing,With friends,"genres,previews,comments of other audience",neither like nor dislike,Strongly like,like,Strongly like,like,Strongly like,neither like nor dislike,dislike,dislike
TRUE,58,40,59,85,20,Female,bachelor,literature language and social sciences,Go to cinema or theatres,Somtimes,fewer than 5 times a year,0-20,"Entertaining,relaxing,express my feelings",With friends,"advertisements,previews,comments of other audience",like,like,dislike,dislike,dislike,dislike,Strongly like,neither like nor dislike,like
TRUE,62,43,71,42,20,Female,high school or below,literature language and social sciences,Go to cinema or theatres,Yes,fewer than 5 times a year,0-20,Entertaining,With friends,"Actor/actress,director,advertisements",Strongly dislike,Strongly dislike,Strongly dislike,Strongly dislike,Strongly dislike,Strongly dislike,Strongly dislike,Strongly dislike,Strongly dislike
TRUE,60,71,54,55,20,Female,bachelor,engineering and techonology,Go to cinema or theatres,Yes,more than 10 times a year,21-40,"Entertaining,relaxing,educating",with family,"Actor/actress,director,previews",Strongly like,neither like nor dislike,dislike,like,like,like,dislike,like,neither like nor dislike
TRUE,71,28,40,71,20,Female,bachelor,literature language and social sciences,on mobile devices at home or other places,Somtimes,fewer than 5 times a year,21-40,"Entertaining,relaxing,funny",With friends,"Actor/actress,genres,comments of other audience",like,Strongly like,neither like nor dislike,like,dislike,Strongly like,like,Strongly like,neither like nor dislike
TRUE,29,34,30,51,19,Male,bachelor,literature language and social sciences,on mobile devices at home or other places,Somtimes,more than 10 times a year,over 40,"Entertaining,relaxing,funny",alone,"Actor/actress,director,advertisements",like,like,neither like nor dislike,neither like nor dislike,dislike,dislike,Strongly like,Strongly like,dislike
TRUE,29,48,42,43,21,Male,high school or below,arts-related,Go to cinema or theatres,Yes,6-10 times a year,over 40,relaxing,alone,"Actor/actress,director,genres",neither like nor dislike,dislike,dislike,neither like nor dislike,Strongly dislike,Strongly dislike,neither like nor dislike,dislike,dislike
TRUE,59,49,57,60,19,Female,bachelor,literature language and social sciences,on mobile devices at home or other places,Yes,fewer than 5 times a year,21-40,"Entertaining,relaxing,funny",With friends,"Actor/actress,director,comments of other audience",dislike,like,neither like nor dislike,Strongly like,dislike,like,Strongly dislike,neither like nor dislike,dislike
TRUE,39,49,41,63,21,Female,bachelor,literature language and social sciences,on mobile devices at home or other places,Somtimes,fewer than 5 times a year,over 40,"Entertaining,relaxing,express my feelings",With friends,"Actor/actress,director,previews",dislike,neither like nor dislike,neither like nor dislike,like,neither like nor dislike,like,dislike,neither like nor dislike,like
TRUE,56,54,59,69,21,Female,bachelor,literature language and social sciences,on mobile devices at home or other places,Yes,fewer than 5 times a year,0-20,"Entertaining,relaxing,funny",With friends,"Actor/actress,previews,comments of other audience",neither like nor dislike,neither like nor dislike,like,like,dislike,like,like,like,like
TRUE,27,30,37,46,22,Female,bachelor,literature language and social sciences,on mobile devices at home or other places,Somtimes,6-10 times a year,0-20,"Entertaining,relaxing,funny",With friends,"Actor/actress,previews,comments of other audience",neither like nor dislike,like,Strongly like,like,neither like nor dislike,Strongly like,Strongly dislike,like,neither like nor dislike
TRUE,52,54,53,53,19,Female,bachelor,literature language and social sciences,on mobile devices at home or other places,Somtimes,fewer than 5 times a year,0-20,"relaxing,funny",With friends,"Actor/actress,director,comments of other audience",neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike
TRUE,85,85,88,86,22,Female,bachelor,literature language and social sciences,on mobile devices at home or other places,Somtimes,6-10 times a year,0-20,"relaxing,funny,educating",alone,"Actor/actress,previews,comments of other audience",neither like nor dislike,neither like nor dislike,neither like nor dislike,Strongly dislike,like,like,dislike,like,like
TRUE,41,41,54,40,19,Female,bachelor,literature language and social sciences,on mobile devices at home or other places,Yes,fewer than 5 times a year,0-20,"Entertaining,relaxing,funny",With friends,"director,genres,comments of other audience",neither like nor dislike,neither like nor dislike,neither like nor dislike,like,Strongly like,like,neither like nor dislike,neither like nor dislike,like
TRUE,20,35,54,42,21,Female,bachelor,literature language and social sciences,Go to cinema or theatres,Never,fewer than 5 times a year,0-20,relaxing,alone,"Actor/actress,director,genres",neither like nor dislike,like,neither like nor dislike,like,like,Strongly like,dislike,neither like nor dislike,neither like nor dislike
TRUE,60,40,36,67,20,Female,bachelor,literature language and social sciences,Go to cinema or theatres,Yes,6-10 times a year,0-20,"Entertaining,relaxing,educating",With friends,"Actor/actress,advertisements,comments of other audience",neither like nor dislike,neither like nor dislike,like,like,dislike,like,like,like,neither like nor dislike
TRUE,52,51,49,50,20,Female,high school or below,literature language and social sciences,on mobile devices at home or other places,Somtimes,fewer than 5 times a year,0-20,"Entertaining,relaxing",With friends,"Actor/actress,director,comments of other audience",neither like nor dislike,like,Strongly like,Strongly like,neither like nor dislike,neither like nor dislike,Strongly dislike,neither like nor dislike,neither like nor dislike
TRUE,53,51,53,57,20,Female,bachelor,literature language and social sciences,Go to cinema or theatres,Somtimes,fewer than 5 times a year,0-20,"relaxing,funny,express my feelings",With friends,"Actor/actress,previews,comments of other audience",neither like nor dislike,like,like,like,neither like nor dislike,Strongly like,Strongly like,neither like nor dislike,neither like nor dislike
TRUE,60,48,29,75,19,Female,bachelor,literature language and social sciences,Go to cinema or theatres,Somtimes,6-10 times a year,21-40,"Entertaining,relaxing,educating",With friends,"Actor/actress,previews,comments of other audience",neither like nor dislike,neither like nor dislike,neither like nor dislike,Strongly like,neither like nor dislike,like,dislike,neither like nor dislike,neither like nor dislike
TRUE,32,51,27,76,19,Female,high school or below,literature language and social sciences,on mobile devices at home or other places,Somtimes,fewer than 5 times a year,21-40,"Entertaining,funny,educating",with family,"Actor/actress,previews,comments of other audience",like,like,like,Strongly like,neither like nor dislike,Strongly like,Strongly dislike,like,neither like nor dislike
TRUE,52,34,52,78,20,Female,bachelor,literature language and social sciences,Go to cinema or theatres,Somtimes,6-10 times a year,0-20,"Entertaining,relaxing,educating",With friends,"genres,previews,comments of other audience",neither like nor dislike,neither like nor dislike,like,like,like,like,like,like,like
TRUE,32,59,33,37,21,Female,bachelor,literature language and social sciences,Go to cinema or theatres,Never,fewer than 5 times a year,0-20,"relaxing,funny,express my feelings",With friends,"Actor/actress,genres,comments of other audience",neither like nor dislike,neither like nor dislike,neither like nor dislike,like,neither like nor dislike,like,Strongly like,neither like nor dislike,neither like nor dislike
TRUE,45,59,46,31,20,Female,high school or below,literature language and social sciences,on mobile devices at home or other places,Somtimes,fewer than 5 times a year,0-20,"Entertaining,relaxing,educating",With friends,"genres,previews,comments of other audience",neither like nor dislike,like,neither like nor dislike,like,neither like nor dislike,neither like nor dislike,like,neither like nor dislike,neither like nor dislike
TRUE,41,52,83,73,21,Female,bachelor,literature language and social sciences,on mobile devices at home or other places,Somtimes,fewer than 5 times a year,21-40,"Entertaining,relaxing,funny",With friends,"Actor/actress,director,advertisements",Strongly dislike,Strongly dislike,Strongly dislike,Strongly dislike,Strongly dislike,Strongly dislike,Strongly dislike,Strongly dislike,Strongly dislike
