Finished,Extraversion,Observant,Thinking,Judging,Age,Gender,education,Major,way of watching movies,subscription,Frequency,number of movies,Reasons,With whom,factors,Action,Adventure,Animated,Comedy,Historical,Fantasy,Horror,Science fiction,Documentary
TRUE,51,70,49,51,24,Male,master or above,engineering and techonology,Go to cinema or theatres,Somtimes,6-10 times a year,0-20,"Entertaining,relaxing,funny",with boyfriend/girlfriend,"genres,previews,comments of other audience",like,Strongly like,Strongly like,neither like nor dislike,like,neither like nor dislike,Strongly dislike,like,like
TRUE,46,67,40,30,20,Female,bachelor,science and math-related,on mobile devices at home or other places,Yes,more than 10 times a year,over 40,Entertaining,alone,"Actor/actress,genres,comments of other audience",neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike
TRUE,29,35,36,56,23,Female,master or above,literature language and social sciences,on mobile devices at home or other places,Somtimes,fewer than 5 times a year,0-20,"Entertaining,relaxing,express my feelings",With friends,"Actor/actress,genres,comments of other audience",neither like nor dislike,neither like nor dislike,Strongly like,neither like nor dislike,like,neither like nor dislike,dislike,dislike,Strongly like
TRUE,41,42,45,68,21,Female,bachelor,business-related,on mobile devices at home or other places,Yes,fewer than 5 times a year,21-40,"Entertaining,relaxing,educating",With friends,"Actor/actress,genres,comments of other audience",neither like nor dislike,like,like,like,like,Strongly like,Strongly dislike,like,like
TRUE,63,59,36,36,23,Female,master or above,literature language and social sciences,Go to cinema or theatres,Somtimes,more than 10 times a year,over 40,"Entertaining,relaxing,educating",With friends,"director,genres,comments of other audience",neither like nor dislike,neither like nor dislike,neither like nor dislike,like,neither like nor dislike,neither like nor dislike,dislike,neither like nor dislike,neither like nor dislike
TRUE,18,31,43,79,23,Female,master or above,business-related,on mobile devices at home or other places,Somtimes,fewer than 5 times a year,0-20,"Entertaining,relaxing,educating",With friends,"Actor/actress,genres,comments of other audience",neither like nor dislike,neither like nor dislike,neither like nor dislike,Strongly like,neither like nor dislike,like,dislike,neither like nor dislike,dislike
TRUE,54,26,52,33,23,Female,master or above,business-related,on mobile devices at home or other places,Never,fewer than 5 times a year,0-20,"Entertaining,relaxing,educating",With friends,"Actor/actress,director,genres",neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike,like,neither like nor dislike,like,neither like nor dislike,like
TRUE,40,61,18,40,24,Female,master or above,environment-related,on mobile devices at home or other places,Yes,6-10 times a year,0-20,"relaxing,funny,express my feelings",With friends,"director,advertisements,genres",like,like,like,neither like nor dislike,like,like,like,like,like
TRUE,28,51,54,74,22,Female,bachelor,arts-related,Go to cinema or theatres,Somtimes,6-10 times a year,0-20,"Entertaining,relaxing",with boyfriend/girlfriend,"Actor/actress,director,comments of other audience",dislike,dislike,like,like,neither like nor dislike,dislike,Strongly dislike,dislike,neither like nor dislike
TRUE,46,45,58,74,23,Female,master or above,science and math-related,on mobile devices at home or other places,Never,6-10 times a year,21-40,"Entertaining,relaxing,funny",With friends,"Actor/actress,advertisements,genres",neither like nor dislike,dislike,like,like,Strongly like,like,dislike,like,like
TRUE,46,45,58,74,23,Female,master or above,science and math-related,on mobile devices at home or other places,Never,6-10 times a year,21-40,"relaxing,express my feelings",With friends,"Actor/actress,director,genres",like,dislike,like,like,like,like,dislike,like,like
TRUE,16,41,43,24,23,Female,master or above,literature language and social sciences,on mobile devices at home or other places,Somtimes,fewer than 5 times a year,21-40,"Entertaining,relaxing",alone,"director,genres,previews",neither like nor dislike,like,like,neither like nor dislike,neither like nor dislike,Strongly like,like,Strongly like,neither like nor dislike
TRUE,42,38,42,99,24,Male,master or above,engineering and techonology,on mobile devices at home or other places,Never,fewer than 5 times a year,0-20,educating,With friends,"director,genres,comments of other audience",neither like nor dislike,like,neither like nor dislike,like,like,neither like nor dislike,Strongly dislike,Strongly like,like
TRUE,40,35,53,53,25,Male,master or above,science and math-related,Go to cinema or theatres,Somtimes,more than 10 times a year,21-40,"Entertaining,funny,express my feelings",With friends,"Actor/actress,advertisements,comments of other audience",Strongly like,Strongly like,like,Strongly like,neither like nor dislike,Strongly like,like,Strongly like,neither like nor dislike
TRUE,58,46,71,66,22,Female,bachelor,business-related,Go to cinema or theatres,Yes,6-10 times a year,0-20,"Entertaining,relaxing,educating",with family,"director,genres,comments of other audience",Strongly like,Strongly like,neither like nor dislike,like,like,Strongly like,Strongly like,Strongly like,like
TRUE,40,70,60,80,21,Female,master or above,business-related,on mobile devices at home or other places,Never,fewer than 5 times a year,0-20,"Entertaining,relaxing",with boyfriend/girlfriend,"Actor/actress,genres,comments of other audience",dislike,like,like,dislike,dislike,like,like,dislike,neither like nor dislike
TRUE,59,49,44,60,20,Female,bachelor,literature language and social sciences,on mobile devices at home or other places,Somtimes,fewer than 5 times a year,0-20,"Entertaining,relaxing,funny",With friends,"Actor/actress,genres,comments of other audience",Strongly like,like,like,Strongly like,like,like,dislike,neither like nor dislike,Strongly like
TRUE,65,50,57,74,21,Male,bachelor,engineering and techonology,Go to cinema or theatres,Somtimes,6-10 times a year,0-20,"Entertaining,relaxing,express my feelings",With friends,"Actor/actress,genres,previews",like,like,like,like,like,Strongly like,neither like nor dislike,Strongly like,neither like nor dislike
TRUE,74,52,60,81,20,Female,high school or below,engineering and techonology,on mobile devices at home or other places,Yes,fewer than 5 times a year,0-20,funny,alone,"genres,previews,comments of other audience",Strongly dislike,Strongly dislike,Strongly dislike,Strongly dislike,Strongly dislike,Strongly dislike,Strongly dislike,Strongly dislike,Strongly dislike
