,with,without
Action,0.2889195319525119,0.2888631204713019
Adventure,0.3181308831961382,0.3159987536602137
Animated,0.36326667363614856,0.3682907548031734
Comedy,0.3415440029096101,0.3340541573996986
Historical,0.4070879461978117,0.4109455212043541
Fantasy,0.3666234842302374,0.36352748938693596
Horror,0.7724163358188655,0.776126316955216
Science fiction,0.34312386876372347,0.3407838688934491
Documentary,0.38747885024754125,0.3954835854506918
